SP.ADO.TFRT,ER.H2O.FWTL.ZS,SH.STA.BRTC.ZS,EN.ATM.CO2E.PC,SP.DYN.CONU.ZS,EG.USE.ELEC.KH.PC,EG.USE.PCAP.KG.OE,SP.DYN.TFRT.IN,AG.LND.FRST.K2,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GNP.PCAP.CD,NY.GNP.PCAP.PP.CD,NY.GNP.ATLS.CD,NY.GNP.MKTP.PP.CD,SH.IMM.MEAS,SI.DST.FRST.20,NY.GDP.DEFL.KD.ZG,SP.DYN.LE00.IN,MS.MIL.XPND.GD.ZS,IT.CEL.SETS.P2,SH.DYN.MORT,SM.POP.NETM,DT.ODA.ALLD.CD,BX.TRF.PWKR.CD.DT,EN.POP.DNST,SP.POP.GROW,SP.POP.TOTL,SI.POV.DDAY,SI.POV.NAHC,SH.DYN.AIDS.ZS,SH.STA.MALN.ZS,SE.PRM.CMPT.ZS,SE.PRM.ENRR,SE.ENR.PRSC.FM.ZS,SE.SEC.ENRR,IQ.SCI.OVRL,AG.SRF.TOTL.K2,GC.TAX.TOTL.GD.ZS,ER.PTD.TOTL.ZS,SP.URB.GROW
19.86,..,..,..,..,..,..,1.7655,..,1.95E+13,2.21701033,59030,60990,1.92E+13,1.98E+13,92,..,1.900777538,78.53902439,3.109010405,123.0448345,6.6,4774029,..,6126000000,35.54522707,0.631007893,324985539,..,..,..,..,98.8322,101.82144,0.99363,98.95234,..,9831510,11.7642667,26.3280836,0.870149208
18.5562,..,..,..,..,..,..,1.7295,..,2.05E+13,2.927322728,63080,63690,2.06E+13,2.08E+13,92,..,2.435950607,78.53902439,3.16286488,129.0140075,6.5,..,..,6668000000,35.76608858,0.522337358,326687501,..,..,..,..,..,..,..,..,..,9831510,9.632587209,26.3280836,0.763339372
84.7406,..,..,11.15075916,..,2412.137405,3033.050649,2.69,..,73233967692,..,..,..,..,..,..,..,..,71.12682927,6.343041412,0,26.6,..,..,..,..,0.34612887,52400000,..,..,..,..,..,..,..,..,..,..,..,..,0.277313858
86.7628,..,..,11.15413892,..,2553.693182,3006.747386,2.78,..,77741965703,2.677118943,..,..,..,..,..,..,3.387796497,70.87804878,6.190022143,..,26.1,..,..,..,218.2449469,0.760459939,52800000,..,..,..,..,..,..,..,..,..,243610,..,..,0.671184467
88.785,..,..,11.14292839,..,2780.657277,3087.341972,2.86,..,81247564157,1.102909649,..,..,..,..,..,..,3.369205326,70.92682927,6.210393713,..,25.6,143068,..,..,220.104989,0.848661388,53250000,..,..,..,..,..,..,..,..,..,243610,..,..,0.673704361
84.3684,..,..,11.25485346,..,3002.087605,3196.831184,2.88,..,86561961812,4.874383998,..,..,..,..,..,..,1.589148036,70.82682927,6.082126186,..,24.9,..,..,..,221.7583599,0.748366449,53650000,..,..,..,..,..,..,..,..,..,243610,..,..,0.571825966
79.9518,..,..,11.26583889,..,3127.462963,3212.534556,2.93,..,94407558351,5.533659386,..,..,..,..,..,..,3.344811516,71.62439024,5.899067585,..,24.2,..,..,..,223.2050593,0.650257749,54000000,..,..,..,..,..,..,..,..,..,243610,..,..,0.472118753
75.5352,..,..,11.45615951,..,3330.18388,3329.410163,2.86,..,1.02E+11,2.142176544,..,..,..,..,..,..,5.594549205,71.62439024,5.756799452,0,23.4,..,..,..,224.6436986,0.642468779,54348050,..,..,..,..,..,..,..,..,..,243610,..,..,0.464013102
71.1186,..,..,11.31896078,..,3425.803087,3306.781613,2.78,..,1.09E+11,1.573100414,..,..,..,..,..,..,4.97569613,71.57317073,5.588717004,..,22.8,..,..,..,225.8855867,0.551303249,54648500,..,..,..,..,..,..,..,..,..,243610,..,..,0.372529035
66.702,..,..,10.78410455,..,3506.887062,3345.553495,2.68,..,1.13E+11,2.786474642,..,..,..,..,..,..,2.768725433,72.12439024,5.576792793,..,22.2,-84853,..,..,227.1053611,0.53854377,54943600,..,..,..,..,..,..,..,..,..,243610,..,..,0.356869361
61.9316,..,..,10.99348823,..,3762.590176,3406.144495,2.6,..,1.08E+11,5.441083438,..,..,..,..,..,..,3.962456617,71.72439024,5.313323755,..,21.8,..,..,..,228.2135328,0.48676828,55211700,..,..,..,..,..,..,..,..,..,243610,..,..,0.304763643
57.1612,..,..,11.34267041,..,4006.330969,3557.129275,2.51,..,1.16E+11,1.924096835,..,..,..,..,..,7.9,6.037683294,71.72195122,4.920792648,..,21.4,..,..,..,229.1644277,0.415803269,55441750,0.2,..,..,..,..,..,..,..,..,243610,..,..,0.233466984
