SP.DYN.LE00.IN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,FP.CPI.TOTL.ZG,NY.GDP.DEFL.KD.ZG,AG.LND.AGRI.ZS,EN.ATM.CO2E.KD.GD,SP.DYN.IMRT.IN,SH.DYN.MORT,SH.MED.PHYS.ZS,SH.MED.BEDS.ZS,AG.PRD.FOOD.XD,AG.PRD.CROP.XD,AG.PRD.LVSK.XD,SP.DYN.TFRT.IN,SP.ADO.TFRT,SH.STA.BRTC.ZS,SP.POP.0014.TO.ZS,SP.POP.1564.TO.ZS,SP.POP.65UP.TO.ZS,SP.POP.GROW,EN.POP.DNST,VC.IHR.PSRC.P5,SH.H2O.BASW.ZS,SH.H2O.SMDW.ZS,SH.STA.BASS.ZS,SH.STA.SMSS.ZS,SI.POV.GINI,SE.SEC.UNER.LO.ZS,SE.PRM.UNER.ZS,SE.XPD.TOTL.GD.ZS,SP.DYN.CBRT.IN,SH.XPD.GHED.GD.ZS,SH.XPD.PVTD.CH.ZS,SH.IMM.IDPT,SH.IMM.HEPB,SH.IMM.MEAS,SH.PRV.SMOK,SP.RUR.TOTL.ZS,SP.URB.TOTL.IN.ZS,EG.CFT.ACCS.ZS,EG.ELC.ACCS.ZS
81.74878049,2.330174773,52504.6557,0.938291898,1.728927704,6.886955814,0.298399687,4.7,5.4,2.4509,,120.15,147.04,85.58,1.587,10.8726,98,16.16725872,68.6308948,15.20184648,1.056591259,3.85802116,1.4,99.34176479,98.67154711,99.44034183,82.50503468,33.8,0.48872,0.56769,,10.8,7.62155056,25.4786998,91,55,90,16.3,18.822,81.178,100,100
81.8,2.868453971,50835.51118,1.906635907,1.957936235,6.888583005,0.301315451,4.7,5.4,2.4961,,111.72,129.62,85.7,1.5818,10.2512,97.9,16.0615435,68.31509023,15.62336628,1.005337579,3.897002917,1.5,99.36540868,98.71889653,99.40172004,82.45789272,,0.28736,0.60887,,10.8,7.489032298,25.5238831,91,55,90,15.6,18.782,81.218,100,100
81.9,0.689906522,43495.05439,1.125241361,-0.902404707,6.890210625,,4.6,5.3,2.5388,,113.96,135.92,83.07,1.563,9.6298,,15.99148087,67.95488432,16.05363481,0.746339478,3.926196595,1.7,99.38903384,98.76622172,99.36312098,82.41073348,,0.07248,0.41093,,10.7,7.841788232,25.39227605,91,69,89,15,18.741,81.259,100,100
81.9,1.107099385,42279.90082,1.428759547,0.797481083,6.891838245,,4.5,5.2,2.5668,,117.66,141.12,83.25,1.5433,9.0084,,15.89803453,67.64695567,16.4550098,1.132348655,3.970907493,1.7,99.41262381,98.81349761,99.32453042,82.36354589,,,0.04413,,10.6,7.935039699,26.10233724,91,70,89,14.3,18.7,81.3,100,100
81.94878049,2.978565954,45069.92725,1.596884129,2.563357848,,,4.4,5.1,2.6102,,,,,1.4961,8.387,,15.87003682,67.28747162,16.84249156,1.194280492,4.01827985,1.8,99.43624408,98.86085405,99.28601285,82.31639797,,,0.1175,,10.3,7.794101536,26.28136277,91,71,90,,18.65,81.35,,100
81.94878049,1.896974756,46232.98962,2.268225672,1.931167967,,,4.3,5,,,,,,1.4988,8.0346,,15.87025087,66.89774245,17.23200668,1.397947791,4.075308214,,,,,,,,,,10.1,,,91,71,90,,18.589,81.411,,
77.87560976,3.556331247,27174.29716,0.568990767,0.256349694,35.78590399,0.190071415,4.7,5.6,3.1,8.899999619,103.98,98.95,103.31,1.34,14.2118,98.3,17.02418038,67.63894632,15.3368733,0.194563153,96.78280455,0.7,,,,,,1.70553,0.1145,6.11234,9.8,,,74,,65,,39.509,60.491,,100
78.12682927,3.375722147,24564.45829,2.344864555,1.364040914,35.60426194,0.185096086,4.6,5.5,3.2,7.9,100.19,94.44,101.25,1.36,13.9232,98.3,16.82714781,67.78294608,15.38990611,0.240466652,97.01581497,1,100.000003,97.71393554,99.99998253,96.93694418,28.8,0.27184,0.27054,5.58881,9.8,6.825786829,25.83659291,81,33,75,49.1,39.787,60.213,100,100
78.57560976,1.267168189,24537.51426,2.649999223,1.947105394,35.3124255,0.193358273,4.5,5.4,3.3,7.8,103.21,97.33,104.85,1.33,13.6346,98.3,16.60306051,67.8768838,15.5200557,0.382799394,97.38790264,0.9,100,97.7968427,99.99998905,96.91547145,,,1.27078,5.57548,9.4,6.826497614,26.35471225,84,44,79,,40.066,59.934,100,100
78.67804878,1.651553922,26401.74546,1.810359539,1.145595667,35.1441021,0.193636154,4.4,5.3,3.3,7.8,103.17,96.98,104.38,1.39,13.346,98.4,16.4492037,67.90045796,15.65033834,0.491980464,97.86821264,0.8,100,97.87975281,99.99999874,96.89400213,,0.06825,3.39973,5.52213,9.7,6.899340451,26.56185925,83,81,78,,40.345,59.655,100,100
78.63170732,0.941470921,32222.89724,1.355556733,1.307552579,34.93860475,0.206481416,4.3,5.2,3.378,7.7,97.4,91.61,98.77,1.38,12.9022,98.4,16.33215719,67.8734889,15.79435391,0.487133895,98.34612497,0.6,100,97.96266292,99.99837838,96.87082571,29.5,0.06889,3.84064,5.36183,9.5,6.982685626,26.8617332,84,83,79,,40.625,59.375,100,100
79.1804878,2.735120222,36821.52147,2.06120354,1.73971885,34.72269196,0.201525303,4.2,5.1,,7.7,100.92,105.35,98.26,1.42,12.4584,98.4,16.18382084,67.84319453,15.97298463,0.620413127,98.95817389,0.7,100,98.04557303,99.996533,96.84734743,29.8,0.20859,3.45106,5.30243,9.7,6.996102631,27.94504762,83,83,74,,40.906,59.094,100,100
